Store_ID,Sale_ID,Member_ID,Payment_Type,Card_Number,Time,Month,Day,Year
797,90,51,Credit,5602239827697884,24:27,7,25,2019
1916,91,61,Cash,-1,7:51,11,1,2019
1667,92,18,Credit,3551313914999465,19:15,9,21,2019
797,93,70,Cash,-1,14:31,2,9,2019
1864,94,22,Cash,-1,23:24,8,10,2019
1667,95,44,Credit,3567727999656637,24:37,1,22,2017
797,96,13,Cash,-1,0:38,5,12,2017
280,97,32,Cash,-1,12:49,7,5,2017
1864,98,0,Credit,5602247657917728,18:45,7,14,2017
71,99,57,Credit,5007662593129728,2:17,9,16,2017
1667,100,87,Cash,-1,1:28,10,22,2018
1864,101,65,Cash,-1,23:47,10,14,2018
1667,102,47,Credit,5504729576678803,6:26,4,12,2018
797,103,24,Credit,30451484485304,13:45,4,23,2018
1864,104,35,Cash,-1,13:40,11,6,2018
1916,105,86,Cash,-1,24:21,2,16,2019
1703,106,67,Credit,201601193684349,18:41,1,22,2019
1075,107,20,Cash,-1,8:22,12,4,2019
1667,108,8,Credit,3529456931033732,19:45,12,27,2019
1703,109,0,Cash,-1,0:60,6,5,2019
280,110,75,Credit,3580626855555136,14:27,8,9,2019
433,111,2,Credit,6304213818921107,13:32,8,9,2019
797,112,27,Cash,-1,6:32,4,6,2019
797,113,45,Credit,3579316208405121,0:24,1,4,2019
1667,114,28,Cash,-1,9:55,11,1,2019
797,115,74,Cash,-1,23:22,12,2,2019
1703,116,90,Credit,3539569106096736,24:40,3,12,2017
433,117,93,Cash,-1,18:28,9,7,2017
280,118,99,Cash,-1,15:33,8,23,2017
280,119,19,Credit,5458322131505699,12:49,3,5,2017
797,120,80,Credit,374622679422898,10:10,3,12,2017
1864,121,51,Cash,-1,24:17,10,17,2018
